曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
水,"5","数値計算法","後藤　尚志／宮川　和芳","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604024001012026260402400126&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n50％\n\n課題レポート（複数回）により評価する．\n平常点評価:\n\n40％\n\n授業時間の演習とレポートにより総合的に評価する．\nその他:\n\n10％\n\n授業への出席状況を平常点に併せて評価する．"
金,"4","鉄鋼材料学","鈴木　進補／山口　勉功","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604024005012026260402400526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\nレポート\nレポート:\n\n100％\n\nレポート\n平常点評価:\n\n0％\n\n受講態度"
日,"1","基幹理工学特論Ｂ","荒川　雅生／植田　研二／立野　繁之／田中　英一郎／橋本　健二／馬渡　和真／三宅　丈雄","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034048012026260202401026&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n各担当教員が演習課題やレポートを与え、その内容によって各教員が評価を行う。"
日,"2","基幹理工学特論Ｃ","池永　剛／池橋　民雄／硴塚　孝明／木村　晋二／高畑　清人／丹沢　徹／牧野　昭二／山崎　慎太郎／吉増　敏彦","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602024011012026260202401126&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n各担当教員がレポート課題を与え、記述内容を各教員が評価する。全てのレポートの提出を必須とする。"
水,"5","エネルギ変換工学","天野　嘉春／石川　貴一朗","",4,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2604023017012026260402301726&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n授業中に適宜，理解度確認を実施することがある．\nそこでは，基本的なエネルギに関わる物理現象の理解と物理現象を適切に記述し，解析する能力を確認する．\n\nレポート:\n\n30％\n\n講義中に課題を指示することがある．\nその場で提出，あるいは指定する授業時までの提出を求める．\n講義中に取り上げた課題の理解度を確認する．\n\n平常点評価:\n\n20％\n\n講義時間中の質問，発表内容に応じて加点する"
金,"2","続線形代数（基幹）","土屋　卓也","",2,"spring",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022005012026260002200526&pLng=jp","主に、レポート（５０％）と期末試験（５０％）を元に評価する。\nMainly by reports (50%), and final exam (50%)."
木,"1","電磁気学（基幹）","山口　祐也","",2,"spring",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022006012026260002200626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n教場試験を実施し、理解度を判断します。\nレポート:\n\n30％\n\nレポート課題により、理解度を判断します。(第6回講義終了時に課題を課し、その後2週間を提出期間とすることを予定しています)"
金,"1","フーリエ解析（基幹）","小林　光木","",2,"fall",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022001012026260002200126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n最終回に実施する期末試験の点数で評価する。\nレポート:\n\n40％\n\n毎回の授業でレポートを課す。\nレポート課題の出題および提出は Moodle を通して行う。\n提出は１週間後とする。遅れての提出は認めない（ただし、インフルエンザなどは考慮するので、その場合遠慮せず申し出ること）。\nわからない箇所は講義前後などに質問するなどして、解消すること。"
水,"3,4","理工学基礎実験２Ａ　機械・航空","天野　嘉春／太田　有／齋藤　潔／佐々木　正信／手塚　亜聖／内藤　健／藤澤　信道／宮川　和芳／柳尾　朋洋／山口　誠一／吉村　浩明","",2,"spring",2,"必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600250003032026260025000326&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n80％\n\n各実験項目のレポートおよび発表内容．\nその他:\n\n20％\n\n出席状況．ただし，全ての実験項目に出席・履修して，レポート・発表などの報告を実施することが，単位取得の最低条件となる．"
月,"3","Academic Reading 1","","",2,"spring",1,"必修","",""
金,"5","Concept Building And Discussion 1","","",2,"spring",1,"必修","",""
月,"3","Academic Reading 2","","",2,"fall",1,"必修","",""
金,"5","Concept Building And Discussion 2","","",2,"fall",1,"必修","",""
