曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
月,"5","センサ工学","飯谷　健太","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024006012026260502400626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n第9回目の授業時間中に試験を実施し、物理センサ・化学センサの構造や原理、利用するための回路や情報処理に関する理解度の確認を行います。\nレポート:\n\n50％\n\n講義を通して学んだ内容、特に社会での応用例、先端研究の例を元に、自身で調査を行い、それをレポートにまとめる。\nなお、理解度・調査状況に加えて、自身の考えが論理的、学術的に述べられているかも評価する。\n平常点評価:\n\n0％\n\n行わない\nその他:\n\n0％\n\n特になし"
水,"4","分子エレクトロニクス","谷井　孝至","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605013007012026260501300726&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n実施しない\nレポート:\n\n70％\n\n演習に対する解答をレポートとして提出する。\nその内容に応じた評価を与える。\n平常点評価:\n\n30％\n\nMoodle講義に出席（視聴記録）をチェックする。\nその他:\n\n0％\n\n特になし"
月,"2","光ファイバ通信","笠　史郎","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605023018012026260502301826&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n授業の中間時点で中間試験，最終回に期末試験を行う。試験は授業で学習した重要事項について、きちんと習得しているかどうかを評価する視点で行う。難問・奇問は出題しないが、基礎事項が習得できていないと合格点は取れないので、授業で説明した基礎事項の習得に全力を尽くすこと。中間試験，期末試験結果の成績への反映割合は，中間試験40%，期末試験40%とする。\n平常点評価:\n\n20％\n\n授業中に、リアクションペーパー（Reaction paper）を出題し提出を求める。リアクションペーパーの提出状況、記載内容を元に、平常点評価を行う。"
木,"2","MEMS","森本　雄矢","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024001012026260502400126&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n60％\n\n以下のことに対してレポートを作成する。Ａ４レポート用紙２～３枚。自分の考えのない研究内容の調査のみではレポートとして認められない可能性もある。絵や図を使っても構いませんが、他の論文や記事の図を使うときは、必ず引用先を明示すること。\n①MEMS関連の研究テーマにて、国際会議論文、英語論文・国内外のweb等を用いて調査し、新たなシステム（例、新たなものを測るマイクロセンサ、新たな組み合わせのシステム、新たな使用方法）を提案して、その特徴・利点・実現方法・社会での利用可能性について説明をしてください。\n皆さんが思うこんなのがあったら良いな、こういうのができたら良いなというのを自由に上げて、どうしたらできるのか、実際にできたら社会にどんな影響をもたらすのかを授業を参考にしながら考えてみましょう。\n②授業の感想、改善点など自由記載\n平常点評価:\n\n40％\n\n出席やリアクションレポートで評価する"
水,"1","医用電子工学","京相　雅樹","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024002012026260502400226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n試験は実施しません\nレポート:\n\n95％\n\n３０％：授業中に実施する小テストおよび各授業項目に対応したレポート\n	　→ 内容の完成度，充実度を各３段階で採点\n２５％：講義(録画)の内容に関するクイズ\n　　　　 → 出席の代わりとしてMoodle上で実施\n２０％：授業前半部分に関するレポート\n	　→ 調査内容の充実度・詳細度，医用電子工学との関連性，文章のまとまりについて評価\n２０％：授業全般に関する最終レポート\n	　→ 調査内容の充実度・詳細度，生体計測との関連度，生体情報解析との関連度，文章のまとまりについて評価  \n平常点評価:\n\n5％\n\n講義に積極的に参加したかどうかの評価\n　→ 講義内容に関する質問，発言の回数等を積極性として評価\nその他:\n\n0％\n\n評価項目はレポートと平常点のみです"
月,"1","高密度集積回路工学","辰村　光介／外園　明","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024003012026260502400326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n筆記試験は行わない．\nレポート:\n\n60％\n\n課題は、授業で提示します．\n平常点評価:\n\n40％\n\n講義の性質として出席点を重視します．議論に参加する姿勢を期待します．\nその他:\n\n0％\n\n特記事項無し。"
水,"5","エネルギーエレクトロニクス","石丸　哲也／岩路　善尚／嶋田　尊衛","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024004012026260502400426&pLng=jp","試験と平常点により評価"
金,"1","光物性工学","","",4,"",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024014012026260502401426&pLng=jp",""
金,"3","材料の機器分析","榊原　涼太郎／乗松　航／平田　秋彦／山本　知之","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2605024015012026260502401526&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n期末に理解度確認試験を実施します。各種分析装置の原理，測定法，および解析法の理解度を評価します。\n平常点評価:\n\n20％\n\n授業時間中に課題を提出。"
火,"5","先端情報通信技術とオープンイノベーション","川西　哲也／中村　元／前原　文明／村上　陽亮／森田　逸郎／山田　秀昭／山名　早人","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034045012026260702402926&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n80％\n\n講義内容の理解度を評価するための小レポートを原則、毎回実施。\n平常点評価:\n\n20％\n\n出席と授業への主体的な参加（グループワークなどによる）を評価点とする"
