曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
水,"1","暗号とセキュリティの数理","吉田　隆弘","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602023023012026260202302326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n・第14回目の授業時間中に理解度確認のための教場試験を実施する．\n・試験の解説は第14回目の授業時間中（試験終了後）に行う．\nレポート:\n\n40％\n\n・毎回の授業において，演習課題（小テスト）を実施し，実施後に解説する．\n・課題はWaseda Moodleから実施する．"
金,"2","統計的推測論","加藤　昇吾","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602023010012026260202301026&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n評価しない\nレポート:\n\n60％\n\n３回のレポート課題を実施します（１回目 21%，２回目 21%，３回目 18%）．レポート課題は，第４回・第８回・第１２回の授業で提示します．成否だけでなく自ら考える姿勢を評価します．\n平常点評価:\n\n40％\n\n授業中に授業内容に関する質問を行い，その回答を評価します．また，授業への積極性を評価します．\nその他:\n\n0％\n\n評価しない"
木,"4","最適化の数理","小林　領","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602023022012026260202302226&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n最終レポート(70%)：講義全体の内容に対して出題する２つのレポート課題（プログラムを含む）の提出状況とその内容\n・プログラムの作成、プログラムの内容を解説、苦労した点・工夫した点などを記述、具体例をプログラムを用いて解いた結果\n※詳細は、別途授業内で指示する\n\n小レポート(30%)講義内で出題される小レポート課題の提出状況とその内容\n・各回の授業内容に沿った演習課題\n・授業で解説した方法を用いること、あるいは詳しい説明を記述すること"
水,"3","量子力学の数理Ｂ","内野　瞬","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602024001012026260502300126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n理解度確認試験を2回実施する。\n平常点評価:\n\n30％\n\n各講義の小テストと出席。"
日,"1","基幹理工学特論Ｂ","荒川　雅生／植田　研二／立野　繁之／田中　英一郎／橋本　健二／馬渡　和真／三宅　丈雄","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602024010012026260202401026&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n各担当教員が演習課題やレポートを与え、その内容によって各教員が評価を行う。"
日,"2","基幹理工学特論Ｃ","池永　剛／池橋　民雄／硴塚　孝明／木村　晋二／高畑　清人／丹沢　徹／牧野　昭二／山崎　慎太郎／吉増　敏彦","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602024011012026260202401126&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n各担当教員がレポート課題を与え、記述内容を各教員が評価する。全てのレポートの提出を必須とする。"
水,"5","微分方程式１","小薗　英雄","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2601024034012026260102403426&pLng=jp","report"
金,"2","時系列解析","劉　言","",4,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602023011012026260202301126&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n80％\n\n講義内容の視点と絡めて深く考察するレポートの提出。\nReport submission under deep consideration linking to the contents of the course.\n平常点評価:\n\n20％\n\n毎回の授業において自身の理解度や授業の感想などを Waseda Moodle のレビューシートに入力してもらいます．授業への積極性を評価します．\nInput a review sheet on Waseda Moodle with comprehension and opinion for each lecture. Evaluate the proactivity when attending the course."
木,"5","デジタル系の数理","村松　純","",4,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2602023024012026260202302426&pLng=jp","試験あるいはレポート（５０％）と平常点評価（５０％）に基づき評価を行う．"
月,"","卒業研究","","",4,"",2,"専門選択","",""
