曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
月,"4","情報通信ネットワークＢ","中里　秀則","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033024012026260701300726&pLng=jp","割合\n評価基準\n\n\n試験:\n\n40％\n\n基本的な知識を問う試験を実施する\nその他:\n\n60％\n\n2回の課題提出を求める"
火,"5","マルチメディア工学Ａ","亀山　渉","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033025012026260701300826&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n理解度確認の結果から評価する。\n平常点評価:\n\n30％\n\n第4回、第8回、第13回の授業後に行う小テストの結果から評価する。"
金,"4","次世代ネットワーク","カフレ　ベド　プラサド／田中　貴章","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033026012026260702302326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n50％\n\n試験により評価 (理由を問わず追試なし)\n平常点評価:\n\n50％\n\n出席状況 (ミニッツ)・レポート等により評価"
火,"3","コミュニケーション品質理論","大石　晴夫／矢守　恭子","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033029012026260702302726&pLng=jp","平素の学習成果物と試験レポート(70%)、授業への取組状況･態度(30%)による総合判定で評価する。"
木,"2","パターン認識と機械学習","小川　哲司／小林　哲則","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603033031012026260702300126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n２回の理解度確認（教場テスト）を行う．\n平常点評価:\n\n40％\n\n授業内で小テストを課す．授業中もしくは期日内に提出することを求める．"
月,"5","ディジタル放送技術","前原　文明／森本　聡","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034033012026260702302426&pLng=jp","割合\n評価基準\n\n\n試験:\n\n100％\n\n第７回と第1４回の「理解度の確認」により評価．\n平常点評価:\n\n\n行わない．"
金,"1","自然言語処理","河原　大輔","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034005012026260303400526&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n50％\n\nYou will be given an assignment of programming or survey, which is evaluated through an oral presentation and a report.\nプログラミングや文献研究に関する課題を課し、口頭発表およびレポートにより評価する。\n\n平常点評価:\n\n50％\n\nYou will be given several assignments to check your understanding.\n理解度を確認する演習課題を数回実施する。"
月,"2","コンピュータグラフィクス","牧野　光則","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034010012026260303401026&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n85％\n\n第1回：レイトレーシング法が表現できる現象について正しく理解し、現実の風景と対比して説明できること。\n第2回：CSGモデルによる形状設計を正しく理解し、実際に設計できること。\n第3回：VRを中心とする技術の発展と社会との関係について、過去、現在、近未来について適切に調査・考察できること。\n第4回：XRシステムの体験・視聴を通じて、授業で得た知識と関連付けて考察できること。\n\n各回の「採点のめやす」は出題時に履修生に開示する。\nその他:\n\n15％\n\n各回の講義後に行う小問題(小テスト)にて、講義内容に関して正しく理解の上、説明・計算できること。\nこれらには講義中にのみ視聴可能な映像を踏まえた問題を含むため、欠席した学生は解答できず、代替措置を取り得ないことを予め承知すること。"
水,"5","情報通信と国際標準化","岩田　秀行／亀山　渉／嶽北　慎子／丹　康雄／吉野　絵美／米村　征隆","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034012012026260702402126&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n第5回と第14回の講義中に出されるの演習の結果から判断する。与えられた演習課題を、講義内容の視点を絡めて、深く理解しているかどうかを評価する。\n\nEvaluated by the results of exercises given at 5th and 14th weeks in the class."
金,"2","画像情報特論","甲藤　二郎","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034015012026260702401326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\nテスト\ntest\nレポート:\n\n40％\n\nレポート、小テスト\nreport and short test"
水,"2","高信頼ソフトウェア","","",4,"",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034016012026260303401626&pLng=jp",""
月,"4","コンピュータ・アーキテクチャ特論","笠原　博徳","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034018012026260303401826&pLng=jp","成績は、演習、レポート、出席及び定期試験等の総合的な評価により決定する\nThe grading will be decided considering exercises during lectures, attendance, reports, and the final examination."
金,"3","先端プロセッサ技術","木村　啓二","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034020012026260303402026&pLng=jp","割合\n評価基準\n\n\n試験:\n\n80％\n\n到達目標を理解しているかどうか確認する\n\nConfirm whether a student reaches the study goal or not.\n平常点評価:\n\n20％\n\n毎回の講義内容を理解しているかどうか確認する\n\nConfirm whether a student understand each topic of a class or not."
月,"3","無線通信ネットワーク","前原　文明","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034022012026260702401726&pLng=jp","The final grade will be based on feedback sheets and term paper."
火,"4","コンピュータービジョン","石川　博／杉本　晃宏","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034025012026260303402526&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n70％\n\n期末にプロジェクトを実施、第12～14回のいずれか1回の授業（どの回になるかは抽選）にてプレゼンテーション後、レポートを提出させる。\n成績はレポートの量と質、またそれに記述されたプロジェクトに注ぎ込まれた努力によって決まる。\nプロジェクトは受講者が本科目のためだけに新しく行ったものに限る。自分のものであっても例えば過去や進行中のプロジェクトを「リサイクル」したものを提出すれば剽窃とみなす。\nAt the term end, the student is expected to submit a term project report after presenting it in the class.\nThe grade will be based on the quality and quantity of the reports and the efforts dedicated to the project described therein.\nThe project must be a new one done solely for the purpose of this class by the student. If the student submits a ""recycled"" material, from the past or current project for instance, it will be considered a (self-)plagiarism, even if it is his/her own project. \n\n平常点評価:\n\n30％\n\n適宜課題を課す\nThere will be some assignments during the term."
火,"3","情報アクセス評価基盤","酒井　哲也","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034029012026260303402926&pLng=jp","Each student can earn up to 100 points by\n\n(I) See (a) - up to 10 points * 5 assignments= up to 50 points\n\n(II) See (b) - up to 30 points \nUp to 15 points for slide contents;\nUp to 10 points for presentation;\nUp to  5 points for time management.\n\n(III) See (c) - 5 points * 4 votes = 20 points.\n\nStudents who failed to earn at least 65 points will receive an F.\nThe rest will be graded based on the total points earned,\nusing roughly the following distribution: A+:A:B:C=2:3:3:2."
水,"5","モデリングとシミュレーション","松田　崇弘","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034034012026260702400226&pLng=jp","授業中に実施した演習課題をレポートとして提出していただきます．成績評価は提出されたレポートの評価により行います．"
金,"5","ネットワークサービスとビジネスモデル","大津　徹／亀山　渉／三本松　憲生／中村　寛","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034035012026260702400326&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n100％\n\n与えられた演習課題を講義内容の視点と絡めて深く考察しているかどうかを評価する。"
火,"5","先端情報通信技術とオープンイノベーション","川西　哲也／中村　元／前原　文明／村上　陽亮／森田　逸郎／山田　秀昭／山名　早人","",4,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2603034045012026260702402926&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n80％\n\n講義内容の理解度を評価するための小レポートを原則、毎回実施。\n平常点評価:\n\n20％\n\n出席と授業への主体的な参加（グループワークなどによる）を評価点とする"
