曜日,時限,科目名,担当教員,教室,学年,学期,単位,区分,URL,成績評価
木,"3","インタラクション研究","富田　誠","",2,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023003012026260602300326&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\n試験はおこないません\nレポート:\n\n35％\n\n各週の授業における成果\n平常点評価:\n\n35％\n\n授業時の態度や積極性\nその他:\n\n30％\n\n最終発表の評価"
月,"2","視覚芸術キュレーション論","森山　朋絵","",2,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023016012026260602301626&pLng=jp","試験:		試験なし \nレポート:	企画展の企画立案と企画書作成 \n平常点評価:	レポート課題と出席点で採点する。 \nその他:		レポート出題の前に、企画書の仮提出を行う"
月,"3,4","映画から学ぶ映像表現","土田　環","",2,"spring",4,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023057012026260602305726&pLng=jp","割合\n評価基準\n\n\n試験:\n\n0％\n\nなし\nレポート:\n\n50％\n\n最終課題\n平常点評価:\n\n25％\n\n授業での積極性\nその他:\n\n25％\n\n授業内で出された課題"
月,"5","視覚メディアマネージメントA","安斎　昌幸","",3,"spring",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023017012026260602301726&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n60％\n\n期末にレポートの課題があります。（提出必須）\n授業時に扱った事物をレポート内に取り上げることを必須とし、授業内容に対する理解度を見ます。\n平常点評価:\n\n40％\n\n授業では出席を取ります。受講態度も評価します。\n状況に応じて、小レポートの課題があります。"
月,"5","視覚メディアマネージメントB","安斎　昌幸","",3,"fall",2,"専門選択","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2606023018012026260602301826&pLng=jp","割合\n評価基準\n\n\nレポート:\n\n60％\n\n期末にレポートの課題があります。（提出必須）\n授業時に扱ったコンテンツをレポート内に取り上げることを必須とし、授業内容に対する理解度を見ます。\n平常点評価:\n\n40％\n\n授業では出席を取ります。受講態度も評価します。\n状況に応じて、小レポートの課題があります。"
金,"1","微分方程式（基幹）　１クラス","三好　啓也","",2,"spring",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022002032026260002200226&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n中間試験30％，期末試験30％\nレポート:\n\n40％\n\n毎回の授業でレポートが課される．\n平常点評価:\n\n0％\n\n授業への出席を前提として，試験とレポートの評点に基づいて上記の割合で評価する．\n\nその他:\n\n\n中間試験及び期末試験のどちらか一方或いは両方を受験しない場合は不可とする."
木,"3","ベクトル解析（基幹）","平田　潤","",2,"spring",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022003022026260002200326&pLng=jp","試験・レポート課題を重視する. また授業への参加なども併せて総合的に判断する."
金,"2","続線形代数（基幹）","土屋　卓也","",2,"spring",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022005012026260002200526&pLng=jp","主に、レポート（５０％）と期末試験（５０％）を元に評価する。\nMainly by reports (50%), and final exam (50%)."
木,"1","電磁気学（基幹）","山口　祐也","",2,"spring",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022006012026260002200626&pLng=jp","割合\n評価基準\n\n\n試験:\n\n70％\n\n教場試験を実施し、理解度を判断します。\nレポート:\n\n30％\n\nレポート課題により、理解度を判断します。(第6回講義終了時に課題を課し、その後2週間を提出期間とすることを予定しています)"
金,"1","フーリエ解析（基幹）","小林　光木","",2,"fall",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022001012026260002200126&pLng=jp","割合\n評価基準\n\n\n試験:\n\n60％\n\n最終回に実施する期末試験の点数で評価する。\nレポート:\n\n40％\n\n毎回の授業でレポートを課す。\nレポート課題の出題および提出は Moodle を通して行う。\n提出は１週間後とする。遅れての提出は認めない（ただし、インフルエンザなどは考慮するので、その場合遠慮せず申し出ること）。\nわからない箇所は講義前後などに質問するなどして、解消すること。"
火,"2","複素関数論（基幹）","大井　周","",2,"fall",2,"基幹共通","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600022004032026280021000826&pLng=jp","本講義では第14回の講義時間に期末筆記試験を執り行う.\n\n本講義では以下の基準で成績を評価する.\n\n1. 以下のいずれかの基準を満たした場合単位を認定する.\n・毎回の課題を全て提出し7割以上合格し, かつ期末筆記試験で有意な回答を行う.\n・期末筆記試験で60%以上の得点をする.\n\n2. 単位取得者の中での評価は期末筆記試験の成績をもとに行う. その際一部相対評価とすることがありうる(A+は最大で合格者の約20%、Aは最大で合格者の約50%程度).\n\nなお、1の基準を満たしていない場合でも毎回の提出課題の状況次第で合格、あるいは追試を許可する事がありうる.\n\n進級(ゼミ振り分け等)、就職、卒業などを理由にした手加減は一切行わないのでそのつもりで受講するように."
水,"3,4","理工学基礎実験２Ａ　表現","及川　靖広／尾形　哲也／河合　隆史／福里　司","",2,"spring",2,"必修","https://www.wsl.waseda.jp/syllabus/JAA104.php?pKey=2600250003042026260025000326&pLng=jp","各実験項目のレポートおよび出席状況から総合的に判断する。\nただし，全ての実験を行い、指示されたレポートを全て提出することが，単位取得の最低条件となる．"
火,"3","Academic Reading 1","","",2,"",1,"必修","",""
月,"1","Concept Building And Discussion 1","","",2,"",1,"必修","",""
火,"3","Academic Reading 2","","",2,"",1,"必修","",""
月,"1","Concept Building And Discussion 2","","",2,"",1,"必修","",""
